s, x, y;
0.000000, 0.000000, -2.000000;
0.050000, 0.049987, -1.999016;
0.100000, 0.099900, -1.996113;
0.150000, 0.149671, -1.991365;
0.200000, 0.199242, -1.984848;
0.250000, 0.248561, -1.976639;
0.300000, 0.297585, -1.966817;
0.350000, 0.346276, -1.955460;
0.400000, 0.394604, -1.942647;
0.450000, 0.442547, -1.928458;
0.500000, 0.490086, -1.912970;
0.550000, 0.537210, -1.896261;
0.600000, 0.583913, -1.878407;
0.650000, 0.630193, -1.859485;
0.700000, 0.676054, -1.839567;
0.750000, 0.721503, -1.818729;
0.800000, 0.766553, -1.797040;
0.850000, 0.811220, -1.774571;
0.900000, 0.855522, -1.751391;
0.950000, 0.899481, -1.727569;
1.000000, 0.943123, -1.703169;
1.050000, 0.986475, -1.678257;
1.100000, 1.029566, -1.652897;
1.150000, 1.072428, -1.627151;
1.200000, 1.115094, -1.601082;
1.250000, 1.157599, -1.574751;
1.300000, 1.199978, -1.548218;
1.350000, 1.242268, -1.521542;
1.400000, 1.284505, -1.494784;
1.450000, 1.326728, -1.468003;
1.500000, 1.368974, -1.441258;
1.550000, 1.411279, -1.414608;
1.600000, 1.453682, -1.388112;
1.650000, 1.496219, -1.361832;
1.700000, 1.538924, -1.335827;
1.750000, 1.581832, -1.310159;
1.800000, 1.624976, -1.284889;
1.850000, 1.668388, -1.260081;
1.900000, 1.712095, -1.235799;
1.950000, 1.756126, -1.212108;
2.000000, 1.800504, -1.189075;
2.050000, 1.845251, -1.166767;
2.100000, 1.890385, -1.145254;
2.150000, 1.935922, -1.124606;
2.200000, 1.981872, -1.104896;
2.250000, 2.028242, -1.086195;
2.300000, 2.075035, -1.068580;
2.350000, 2.122249, -1.052125;
2.400000, 2.169875, -1.036908;
2.450000, 2.217902, -1.023007;
2.500000, 2.266310, -1.010499;
2.550000, 2.315075, -0.999463;
2.600000, 2.364165, -0.989979;
2.650000, 2.413542, -0.982125;
2.700000, 2.463160, -0.975980;
2.750000, 2.512961, -0.971535;
2.800000, 2.562801, -0.967543;
2.850000, 2.612643, -0.963569;
2.900000, 2.662486, -0.959612;
2.950000, 2.712331, -0.955670;
3.000000, 2.762176, -0.951743;
3.050000, 2.812023, -0.947830;
3.100000, 2.861870, -0.943929;
3.150000, 2.911719, -0.940039;
3.200000, 2.961568, -0.936161;
3.250000, 3.011418, -0.932292;
3.300000, 3.061269, -0.928431;
3.350000, 3.111120, -0.924579;
3.400000, 3.160972, -0.920733;
3.450000, 3.210824, -0.916893;
3.500000, 3.260677, -0.913058;
3.550000, 3.310530, -0.909227;
3.600000, 3.360383, -0.905398;
3.650000, 3.410237, -0.901572;
3.700000, 3.460090, -0.897746;
3.750000, 3.509944, -0.893920;
3.800000, 3.559797, -0.890093;
3.850000, 3.609650, -0.886264;
3.900000, 3.659503, -0.882433;
3.950000, 3.709356, -0.878597;
4.000000, 3.759208, -0.874756;
4.050000, 3.809060, -0.870909;
4.100000, 3.858911, -0.867056;
4.150000, 3.908762, -0.863194;
4.200000, 3.958612, -0.859324;
4.250000, 4.008461, -0.855443;
4.300000, 4.058309, -0.851552;
4.350000, 4.108157, -0.847650;
4.400000, 4.158003, -0.843734;
4.450000, 4.207849, -0.839805;
4.500000, 4.257693, -0.835861;
4.550000, 4.307536, -0.831901;
4.600000, 4.357377, -0.827924;
4.650000, 4.407218, -0.823930;
4.700000, 4.457056, -0.819918;
4.750000, 4.506893, -0.815885;
4.800000, 4.556729, -0.811833;
4.850000, 4.606563, -0.807758;
4.900000, 4.656394, -0.803661;
4.950000, 4.706224, -0.799541;
5.000000, 4.756052, -0.795396;
5.050000, 4.805878, -0.791226;
5.100000, 4.855702, -0.787029;
5.150000, 4.905523, -0.782805;
5.200000, 4.955342, -0.778552;
5.250000, 5.005158, -0.774270;
5.300000, 5.054972, -0.769958;
5.350000, 5.104783, -0.765614;
5.400000, 5.154591, -0.761239;
5.450000, 5.204396, -0.756830;
5.500000, 5.254198, -0.752386;
5.550000, 5.303997, -0.747908;
5.600000, 5.353793, -0.743393;
5.650000, 5.403587, -0.738857;
5.700000, 5.453384, -0.734354;
5.750000, 5.503184, -0.729888;
5.800000, 5.552987, -0.725457;
5.850000, 5.602793, -0.721060;
5.900000, 5.652602, -0.716693;
5.950000, 5.702414, -0.712354;
6.000000, 5.752227, -0.708042;
6.050000, 5.802043, -0.703754;
6.100000, 5.851861, -0.699488;
6.150000, 5.901680, -0.695242;
6.200000, 5.951501, -0.691013;
6.250000, 6.001323, -0.686800;
6.300000, 6.051147, -0.682600;
6.350000, 6.100971, -0.678410;
6.400000, 6.150796, -0.674230;
6.450000, 6.200621, -0.670056;
6.500000, 6.250447, -0.665887;
6.550000, 6.300273, -0.661720;
6.600000, 6.350099, -0.657553;
6.650000, 6.399925, -0.653383;
6.700000, 6.449750, -0.649210;
6.750000, 6.499575, -0.645030;
6.800000, 6.549400, -0.640841;
6.850000, 6.599223, -0.636641;
6.900000, 6.649045, -0.632428;
6.950000, 6.698866, -0.628200;
7.000000, 6.748685, -0.623954;
7.050000, 6.798503, -0.619688;
7.100000, 6.848319, -0.615401;
7.150000, 6.898133, -0.611089;
7.200000, 6.947944, -0.606751;
7.250000, 6.997753, -0.602385;
7.300000, 7.047560, -0.597988;
7.350000, 7.097363, -0.593558;
7.400000, 7.147163, -0.589093;
7.450000, 7.196960, -0.584591;
7.500000, 7.246753, -0.580049;
7.550000, 7.296543, -0.575466;
7.600000, 7.346328, -0.570839;
7.650000, 7.396109, -0.566166;
7.700000, 7.445886, -0.561445;
7.750000, 7.495658, -0.556674;
7.800000, 7.545425, -0.551849;
7.850000, 7.595186, -0.546971;
7.900000, 7.644942, -0.542035;
7.950000, 7.694692, -0.537040;
8.000000, 7.744435, -0.531984;
8.050000, 7.794173, -0.526864;
8.100000, 7.843903, -0.521679;
8.150000, 7.893626, -0.516426;
8.200000, 7.943342, -0.511103;
8.250000, 7.993050, -0.505708;
8.300000, 8.042750, -0.500238;
8.350000, 8.092441, -0.494692;
8.400000, 8.142124, -0.489067;
8.450000, 8.191800, -0.483381;
8.500000, 8.241474, -0.477687;
8.550000, 8.291149, -0.471987;
8.600000, 8.340822, -0.466282;
8.650000, 8.390495, -0.460572;
8.700000, 8.440167, -0.454857;
8.750000, 8.489839, -0.449139;
8.800000, 8.539511, -0.443416;
8.850000, 8.589182, -0.437690;
8.900000, 8.638852, -0.431960;
8.950000, 8.688523, -0.426228;
9.000000, 8.738193, -0.420493;
9.050000, 8.787862, -0.414756;
9.100000, 8.837532, -0.409017;
9.150000, 8.887201, -0.403276;
9.200000, 8.936870, -0.397534;
9.250000, 8.986540, -0.391792;
9.300000, 9.036209, -0.386048;
9.350000, 9.085878, -0.380305;
9.400000, 9.135547, -0.374561;
9.450000, 9.185216, -0.368818;
9.500000, 9.234885, -0.363076;
9.550000, 9.284554, -0.357335;
9.600000, 9.334224, -0.351595;
9.650000, 9.383893, -0.345857;
9.700000, 9.433563, -0.340121;
9.750000, 9.483233, -0.334388;
9.800000, 9.532904, -0.328658;
9.850000, 9.582575, -0.322930;
9.900000, 9.632246, -0.317206;
9.950000, 9.681918, -0.311486;
10.000000, 9.731590, -0.305770;
10.050000, 9.781263, -0.300058;
10.100000, 9.830936, -0.294351;
10.150000, 9.880610, -0.288649;
10.200000, 9.930284, -0.282953;
10.250000, 9.979959, -0.277262;
10.300000, 10.029635, -0.271578;
10.350000, 10.079312, -0.265900;
10.400000, 10.128989, -0.260228;
10.450000, 10.178667, -0.254564;
10.500000, 10.228346, -0.248908;
10.550000, 10.278026, -0.243259;
10.600000, 10.327707, -0.237618;
10.650000, 10.377389, -0.231986;
