x, y, cost, index, parent_index;
14.000000, 18.000000, 0.000000, 0, -1;
4.244442, 14.528533, 10.355302, 2784, 7557;
3.332510, 12.665069, 12.430124, 26, 2784;
3.931318, 1.919831, 23.192248, 16454, 15238;
21.558027, -0.456509, 41.092082, 15319, 1695;
27.886620, -1.986244, 47.603301, 8203, 15477;
31.494360, -5.442706, 52.677501, 14524, 11574;
32.588405, -6.554823, 54.237547, 14680, 14524;
72.165290, -6.262658, 93.932465, 9736, 16404;
75.829049, -2.048700, 99.664160, 15246, 16584;
76.701253, -1.793713, 100.750226, 2198, 15246;
176.524697, -0.221472, 201.459460, 15799, 6870;
180.600872, -1.002113, 205.609713, 16793, 2890;
