path_nbr, x, y, cost, index, parent_index;
1, 0.000000, 0.000000, 0.000000, 0, -1;
1, 1.999727, 0.025479, 1.999889, 2, 0;
1, 3.370951, 0.447442, 3.434569, 775, 2;
1, 5.069001, 0.950757, 5.205643, 257, 775;
1, 6.105741, 1.262185, 6.288148, 837, 257;
1, 7.494230, 1.516196, 7.699680, 633, 837;
1, 9.239071, 1.856958, 9.533871, 786, 633;
1, 10.904153, 2.194209, 11.232764, 171, 786;
1, 12.222563, 2.015029, 12.563294, 1398, 171;
1, 13.190094, 2.152985, 13.540611, 244, 1398;
1, 15.161905, 2.179661, 15.529294, 826, 244;
1, 16.281320, 2.158581, 16.648907, 35, 826;
1, 17.649661, 2.175891, 18.017358, 1112, 35;
1, 18.281054, 2.148941, 18.649326, 37, 1112;
1, 20.280673, 2.129941, 20.699368, 39, 37;
1, 22.280137, 2.089226, 22.699247, 41, 39;
1, 24.279363, 2.034735, 24.699215, 43, 41;
1, 25.279242, 2.019203, 25.699215, 44, 43;
1, 27.279174, 2.013712, 27.699154, 46, 44;
1, 29.277436, 1.947034, 29.698528, 48, 46;
1, 31.277061, 1.913743, 31.698430, 50, 48;
1, 32.276810, 1.891379, 32.698430, 51, 50;
1, 34.276036, 1.897282, 34.697664, 53, 51;
1, 36.275825, 1.878900, 36.697538, 56, 53;
1, 38.275709, 1.880714, 38.697423, 59, 56;
1, 39.275593, 1.865518, 39.697423, 60, 59;
1, 41.275358, 1.834899, 41.697422, 62, 60;
1, 43.275088, 1.818259, 43.697221, 64, 62;
1, 45.274807, 1.810294, 45.696956, 68, 64;
1, 46.274724, 1.797435, 46.696956, 71, 68;
1, 48.263408, 1.646803, 48.691337, 73, 71;
1, 49.263153, 1.669389, 49.691337, 74, 73;
1, 51.262871, 1.659250, 51.691080, 76, 74;
1, 52.889485, 1.516467, 53.323949, 1467, 76;
1, 54.236677, 1.441167, 54.673244, 79, 1467;
1, 56.158954, 1.279998, 56.606033, 522, 79;
1, 57.971851, 1.174629, 58.421989, 279, 522;
1, 59.380445, 1.130713, 59.831267, 714, 279;
1, 61.281306, 0.819788, 61.757389, 878, 714;
1, 62.924421, 0.414926, 63.449649, 1306, 878;
1, 64.028041, 0.134204, 64.588412, 1238, 1306;
1, 65.570733, -0.273646, 66.184920, 132, 1238;
1, 67.565285, -0.188076, 68.181306, 1417, 132;
1, 68.947363, 0.292514, 69.644558, 856, 1417;
1, 70.458031, 0.227588, 71.180984, 474, 856;
1, 71.898096, 0.168389, 72.622265, 1233, 474;
1, 72.664903, 0.339209, 73.407869, 1439, 1233;
1, 74.087124, 0.062731, 74.856714, 176, 1439;
1, 76.086868, 0.092794, 77.112390, 178, 176;
1, 78.084287, 0.160193, 79.110947, 184, 178;
1, 79.083884, 0.188601, 80.110947, 186, 184;
1, 81.081936, 0.240781, 82.109680, 189, 186;
1, 83.073065, 0.389584, 84.106362, 191, 189;
1, 84.072469, 0.355054, 85.106362, 193, 191;
1, 85.183023, 0.383804, 86.217288, 199, 193;
1, 87.068079, 0.430074, 88.102912, 196, 199;
1, 88.068015, 0.418723, 89.103036, 197, 196;
1, 90.067435, 0.431652, 91.102498, 202, 197;
1, 92.066975, 0.455569, 93.102181, 205, 202;
1, 94.066366, 0.474130, 95.101659, 208, 205;
1, 95.065562, 0.514238, 96.101659, 209, 208;
1, 97.045132, 0.698323, 98.089769, 213, 209;
1, 98.044895, 0.720085, 99.089769, 214, 213;
1, 100.044143, 0.711498, 101.089036, 216, 214;
1, 102.040759, 0.790363, 103.087209, 227, 216;
1, 103.040756, 0.787928, 104.087209, 228, 227;
1, 105.040373, 0.793272, 106.086833, 234, 228;
1, 106.040327, 0.783639, 107.086833, 236, 234;
1, 108.039646, 0.789287, 109.086160, 240, 236;
1, 109.984391, 0.701173, 111.032900, 242, 240;
1, 111.984053, 0.702227, 113.032563, 247, 242;
1, 113.983986, 0.714329, 115.032532, 250, 247;
1, 115.980209, 0.796683, 117.030454, 258, 250;
1, 117.979465, 0.838072, 119.030138, 264, 258;
1, 119.627954, 0.801194, 120.679040, 530, 264;
1, 121.100386, 0.773221, 122.151737, 373, 530;
1, 122.166738, 0.731393, 123.218909, 822, 373;
1, 123.961961, 0.725058, 125.014143, 275, 822;
1, 125.944918, 0.489976, 127.013051, 280, 275;
1, 127.941665, 0.526524, 129.010132, 284, 280;
1, 129.940517, 0.559314, 131.009253, 290, 284;
1, 131.938062, 0.532486, 133.006978, 299, 290;
1, 133.934675, 0.539817, 135.003605, 301, 299;
1, 134.934666, 0.544044, 136.003605, 305, 301;
1, 136.928598, 0.640178, 137.999853, 311, 305;
1, 138.927516, 0.609920, 139.999000, 318, 311;
1, 140.927343, 0.591143, 141.998915, 321, 318;
1, 142.927274, 0.592887, 143.998846, 336, 321;
1, 144.448845, 1.024484, 145.580445, 953, 336;
1, 145.816572, 1.279851, 146.971807, 935, 953;
1, 147.797257, 1.492207, 148.963844, 1287, 935;
1, 148.768622, 1.674449, 149.952157, 1399, 1287;
1, 150.342936, 1.620386, 151.527399, 570, 1399;
1, 151.847547, 1.467953, 153.111041, 1223, 570;
1, 153.379952, 1.286634, 154.654136, 374, 1223;
1, 155.141855, 1.123020, 156.423620, 1401, 374;
