x, y, cost, index, parent_index;
14.000000, 18.000000, 0.000000, 0, -1;
14.896492, 16.797377, 1.500000, 1, 0;
16.385915, 16.619558, 2.756485, 2, 0;
17.878859, 16.474235, 4.256485, 3, 2;
19.371814, 16.329031, 5.756485, 4, 2;
16.088266, 16.799601, 2.408696, 5, 0;
20.317520, 15.164711, 6.996626, 6, 3;
12.644743, 18.642868, 1.500000, 7, 0;
21.799795, 14.934797, 8.496626, 8, 6;
23.274729, 14.661722, 9.996307, 9, 6;
11.613339, 17.553738, 2.428024, 10, 0;
11.398318, 19.477389, 2.991893, 11, 0;
10.401205, 16.670148, 3.928024, 12, 10;
12.287657, 20.685311, 3.573423, 13, 7;
9.558193, 15.429450, 5.383734, 14, 10;
8.076930, 15.665799, 6.460013, 15, 12;
6.751300, 16.367727, 7.960013, 16, 15;
5.255753, 16.483229, 9.397228, 17, 15;
4.225213, 15.393281, 10.667532, 18, 16;
18.126608, 17.953633, 4.751051, 19, 5;
3.364601, 14.164726, 12.167532, 20, 18;
16.983023, 16.856568, 3.305264, 21, 5;
13.786710, 20.738586, 2.746879, 22, 0;
1.970418, 14.718127, 13.021239, 23, 18;
10.035872, 20.104876, 4.490598, 24, 7;
19.651237, 17.450801, 6.038847, 25, 21;
3.332510, 12.665069, 13.538082, 26, 18;
0.472235, 14.644307, 14.521239, 27, 23;
0.177866, 13.173475, 15.387500, 28, 23;
3.993648, 11.318631, 15.038082, 29, 26;
10.014110, 20.715954, 4.849332, 30, 11;
18.552631, 19.391863, 6.251051, 31, 19;
3.425738, 9.930294, 16.274446, 32, 26;
0.014834, 16.072867, 15.400236, 33, 23;
3.426532, 8.430295, 17.774446, 34, 32;
3.172594, 6.951946, 19.263533, 35, 32;
2.403727, 5.663984, 20.723785, 36, 34;
3.215027, 8.847890, 17.377169, 37, 32;
1.131502, 14.513209, 13.884819, 38, 23;
3.477296, 4.616392, 21.618879, 39, 35;
1.183811, 4.791171, 22.200233, 40, 35;
0.416892, 17.517979, 16.900236, 41, 33;
10.033283, 14.019984, 6.603605, 42, 12;
4.811144, 17.105302, 10.035639, 43, 16;
13.482054, 16.298013, 1.779053, 44, 0;
-0.091837, 4.002043, 23.700233, 45, 40;
-1.396116, 3.261195, 25.199708, 46, 40;
9.715576, 18.004282, 4.378536, 47, 10;
6.920416, 17.858163, 7.177512, 48, 47;
3.103312, 14.594611, 12.044680, 49, 18;
19.778942, 20.255669, 7.584702, 50, 19;
-1.228810, 4.980455, 24.620268, 51, 40;
12.284909, 15.394218, 3.279053, 52, 44;
9.907457, 21.920809, 5.854230, 53, 11;
4.328664, 18.525588, 9.853822, 54, 48;
-0.485100, 11.827935, 16.887500, 55, 28;
2.987612, 9.374409, 16.982233, 56, 32;
-1.941553, 12.186746, 17.725355, 57, 28;
23.668549, 16.109101, 10.703713, 58, 8;
-0.223707, 10.350887, 18.238511, 59, 28;
-0.322015, 18.823359, 18.171278, 60, 33;
-1.794699, 18.538402, 19.335888, 61, 41;
3.506112, 3.116669, 23.118879, 62, 39;
0.479993, 16.724584, 15.520686, 63, 23;
14.383560, 15.099144, 2.926103, 64, 0;
-0.766247, 9.886473, 18.849214, 65, 55;
13.247234, 14.895405, 3.201182, 66, 44;
12.327396, 19.844373, 2.489842, 67, 0;
9.304117, 14.073567, 6.648051, 68, 42;
9.282608, 20.357119, 5.283215, 69, 11;
-2.874990, 3.010332, 26.654794, 70, 45;
19.994094, 19.848901, 7.411792, 71, 19;
0.886650, 3.841541, 23.095034, 72, 36;
-1.957901, 8.975450, 20.349214, 73, 65;
21.881685, 14.338529, 8.765577, 74, 6;
17.434147, 16.967160, 3.764967, 75, 5;
1.520222, 18.534179, 12.662277, 76, 54;
-1.334362, 1.762466, 26.261399, 77, 45;
0.375625, 2.608957, 24.429354, 78, 72;
-2.919806, 8.991890, 21.181186, 79, 65;
-2.153117, 3.844199, 25.767547, 80, 45;
18.213629, 15.012069, 5.185823, 81, 5;
1.325120, 5.203146, 21.807440, 82, 35;
4.048064, 1.717995, 24.572941, 83, 39;
0.590104, 13.980071, 14.586484, 84, 23;
10.158945, 17.558128, 3.882425, 85, 10;
-1.971303, 0.404414, 27.761399, 86, 77;
4.798901, 0.419441, 26.072941, 87, 83;
-1.224590, -0.896516, 28.922646, 88, 77;
-0.621144, 14.662412, 15.613400, 89, 23;
0.028268, 13.869232, 15.140806, 90, 23;
-1.519614, 14.380419, 16.530492, 91, 27;
-0.734311, -1.788907, 29.940849, 92, 88;
17.891863, 20.738483, 7.545777, 93, 19;
5.011401, -1.065431, 27.518357, 94, 83;
6.286462, 0.612215, 27.069573, 95, 83;
6.330071, 17.849123, 7.767926, 96, 48;
-3.439722, 0.098232, 28.945093, 97, 77;
20.924664, 17.949910, 7.401939, 98, 25;
9.725674, 16.951268, 4.409500, 99, 10;
-1.816423, 0.415607, 27.691928, 100, 77;
-4.474940, -0.987273, 30.445093, 101, 97;
-5.950070, -0.715259, 31.583960, 102, 97;
-1.582016, 4.175120, 25.033838, 103, 40;
-0.873034, 7.939562, 20.735732, 104, 59;
19.403532, 15.723376, 5.928143, 105, 3;
12.048475, 14.696620, 3.928380, 106, 44;
1.375213, 19.761254, 13.897890, 107, 76;
22.351554, 18.412495, 8.900650, 108, 25;
2.711519, 20.442640, 12.361858, 109, 54;
-2.664821, 1.287872, 27.545687, 110, 46;
-7.435432, -0.725742, 33.069359, 111, 102;
3.327803, 16.990039, 10.904930, 112, 43;
7.296277, 14.384948, 7.875170, 113, 14;
0.741373, 17.959660, 13.630098, 114, 76;
0.311318, 3.230413, 23.934369, 115, 72;
-0.581672, 9.189033, 19.454259, 116, 59;
-2.127106, 4.195267, 24.909236, 117, 51;
2.967348, 16.870941, 11.275748, 118, 43;
-0.979989, 6.547283, 22.125868, 119, 116;
-7.775737, -0.425268, 33.432514, 120, 102;
-2.516237, 2.427947, 26.534606, 121, 80;
-2.314376, 11.186767, 18.792574, 122, 57;
5.745978, 16.369599, 8.894899, 123, 15;
7.785412, 0.668318, 28.569573, 124, 95;
9.285334, 0.683683, 30.069297, 125, 95;
14.723785, 18.866944, 1.129362, 126, 0;
20.668648, 20.075049, 8.123245, 127, 71;
20.001532, 21.389018, 8.718427, 128, 31;
16.246123, 16.545431, 2.675975, 129, 0;
0.554764, 19.467102, 14.004832, 130, 76;
22.938249, 14.379854, 9.717334, 131, 8;
21.254281, 20.748904, 8.960364, 132, 71;
1.043802, 18.067981, 13.328848, 133, 76;
20.287976, 19.500554, 7.408959, 134, 19;
18.863973, 16.201820, 5.248042, 135, 5;
10.773947, 0.499209, 31.562889, 136, 124;
