path_nbr, x, y, cost, index, parent_index;
1, 0.000000, -1.000000, 0.000000, 0, -1;
1, 1.999692, -0.965199, 1.999995, 2, 0;
1, 3.999597, -0.949934, 3.999958, 4, 2;
1, 5.999143, -0.927156, 5.999633, 6, 4;
1, 6.999125, -0.921230, 6.999633, 7, 6;
1, 8.394946, -0.892563, 8.395748, 1336, 7;
1, 9.276391, -0.851366, 9.278155, 1521, 1336;
1, 10.987046, -0.760094, 10.991244, 11, 1521;
1, 12.986783, -0.739107, 12.992095, 13, 11;
1, 14.264244, -0.626896, 14.274476, 1672, 13;
1, 15.720676, -0.554962, 15.732683, 926, 1672;
1, 16.806069, -0.218324, 16.877371, 18, 926;
1, 18.227850, -0.259129, 18.303448, 666, 18;
1, 18.805945, -0.228097, 18.882375, 21, 666;
1, 20.796059, -0.207053, 20.876467, 24, 21;
1, 22.750362, -0.431382, 22.843603, 135, 24;
1, 24.723405, -0.627348, 24.826354, 28, 135;
1, 25.346109, -0.665929, 25.450252, 195, 28;
1, 27.337955, -0.604135, 27.443056, 290, 195;
1, 28.721593, -0.548650, 28.827807, 32, 290;
1, 30.721098, -0.512224, 30.835093, 34, 32;
1, 32.622256, -0.386346, 32.740414, 315, 34;
1, 34.376237, 0.212244, 34.593724, 47, 315;
1, 36.296099, 0.249189, 36.513941, 680, 47;
1, 37.376033, 0.210889, 37.594555, 51, 680;
1, 38.926034, 0.120194, 39.147206, 1123, 51;
1, 39.876448, -0.012740, 40.106873, 303, 1123;
1, 41.341250, -0.133470, 41.576641, 1475, 303;
1, 43.184838, -0.102229, 43.420494, 741, 1475;
1, 44.764831, 0.277840, 45.045557, 1547, 741;
1, 46.494931, -0.111246, 46.818869, 432, 1547;
1, 48.052093, 0.162777, 48.404795, 722, 432;
1, 48.657927, 0.237672, 49.015240, 583, 722;
1, 50.412522, 0.421603, 50.779450, 888, 583;
1, 51.280625, 0.434415, 51.647647, 518, 888;
1, 53.080444, -0.124378, 53.532216, 1085, 518;
1, 54.737833, -0.489683, 55.229385, 1539, 1085;
1, 55.524761, -0.921583, 56.127046, 82, 1539;
1, 57.335008, -0.878975, 57.985417, 1214, 82;
