x, y, cost, index, parent_index;
0.000000, -10.000000, 0.000000, 0, -1;
9.995425, -9.697549, 10.000000, 1, 0;
13.958798, -0.516499, 16.875569, 2, 0;
23.952561, -0.163392, 25.893707, 3, 0;
14.755202, 9.451737, 24.414874, 4, 0;
33.949698, 0.075898, 35.413355, 5, 0;
43.921108, 0.831534, 45.413355, 6, 5;
53.869901, 1.842235, 55.411716, 7, 5;
63.851601, 2.446934, 65.409115, 8, 5;
73.846306, 2.772306, 75.400978, 9, 5;
83.844815, 2.944985, 85.392964, 10, 6;
93.837083, 3.338161, 95.392964, 11, 10;
103.837052, 3.363222, 105.389574, 12, 10;
113.835211, 3.555091, 115.389564, 13, 10;
123.834733, 3.652824, 125.389146, 14, 10;
133.832715, 3.853731, 135.389146, 15, 14;
143.813146, 4.479019, 145.381238, 16, 12;
153.813145, 4.484079, 155.378291, 17, 13;
163.812745, 4.573527, 165.377758, 18, 14;
173.808268, 4.872718, 175.377191, 19, 17;
183.808142, 4.923033, 185.376209, 20, 18;
193.808109, 4.897569, 195.374873, 21, 18;
166.737706, 14.136194, 169.863303, 22, 15;
203.808094, 4.915243, 205.374566, 23, 18;
213.807763, 4.996609, 215.374566, 24, 23;
223.807477, 5.072259, 225.374566, 25, 23;
233.807458, 5.091780, 235.374450, 26, 23;
243.807407, 5.059993, 245.374142, 27, 23;
253.804379, 5.306071, 255.372379, 28, 25;
263.803552, 5.434686, 265.372283, 29, 25;
273.799332, 5.144199, 275.366184, 30, 27;
283.799318, 5.160610, 285.366179, 31, 27;
293.796726, 5.388283, 295.364811, 32, 28;
303.796098, 5.500391, 305.364811, 33, 32;
313.781149, 6.046965, 315.358193, 34, 30;
284.288662, 15.148629, 287.406228, 35, 28;
20.126828, 17.886525, 34.391095, 36, 0;
323.653598, 7.639055, 325.297450, 37, 31;
333.653362, 7.707880, 335.288888, 38, 32;
327.813426, 16.732780, 331.223331, 39, 32;
343.618737, 8.539317, 345.282875, 40, 37;
353.618565, 8.480642, 355.269041, 41, 38;
363.618494, 8.518412, 365.264980, 42, 38;
373.608423, 8.967095, 375.263787, 43, 38;
278.813274, 1.117763, 280.601289, 44, 27;
383.115415, 12.068239, 384.936890, 45, 40;
393.104479, 12.535789, 394.936890, 46, 45;
145.662403, 14.306544, 148.983669, 47, 13;
403.104119, 12.450964, 404.929258, 48, 45;
412.895162, 14.484553, 414.814505, 49, 45;
209.175160, 4.020526, 210.754348, 50, 19;
422.893891, 14.325104, 424.779336, 51, 45;
432.891823, 14.121740, 434.755829, 52, 46;
442.890237, 13.943654, 444.743366, 53, 48;
238.891113, 11.458528, 241.062559, 54, 23;
452.871899, 14.548975, 454.740473, 55, 52;
462.871898, 14.552903, 464.734314, 56, 53;
472.870711, 14.706989, 474.733557, 57, 53;
482.870124, 14.598659, 484.728619, 58, 53;
492.869793, 14.680018, 494.728619, 59, 58;
472.309189, 17.390399, 474.308489, 60, 52;
502.864976, 14.369653, 504.724782, 61, 58;
512.842216, 13.695354, 514.714320, 62, 58;
522.840751, 13.524179, 524.713685, 63, 58;
532.840658, 13.567379, 534.711198, 64, 61;
542.839928, 13.446555, 544.710391, 65, 61;
552.839465, 13.350308, 554.710391, 66, 65;
562.816655, 14.025345, 564.690693, 67, 64;
572.811225, 13.695866, 574.681972, 68, 64;
184.125370, 8.681822, 185.979794, 69, 17;
45.343642, 8.948656, 49.144680, 70, 3;
582.810678, 13.800513, 584.681972, 71, 68;
74.534679, 12.748585, 78.264639, 72, 6;
592.810678, 13.800358, 594.681698, 73, 68;
602.810482, 13.862910, 604.681694, 74, 68;
612.791542, 14.478085, 614.669941, 75, 68;
622.788877, 14.247227, 624.662667, 76, 71;
632.787091, 14.436212, 634.662667, 77, 76;
365.466486, 18.346175, 368.833607, 78, 38;
624.784440, 4.448363, 627.995077, 79, 73;
642.783879, 14.689649, 644.662564, 80, 76;
371.712582, 11.253564, 373.507532, 81, 40;
317.317463, 10.469419, 319.302141, 82, 31;
652.124921, 18.259654, 654.184684, 83, 75;
662.124872, 18.228142, 664.184684, 84, 83;
672.119548, 18.554388, 674.181483, 85, 83;
682.119481, 18.517734, 684.180354, 86, 83;
692.116575, 18.758812, 694.179453, 87, 83;
